# Entropy Sorting merger, performed at 12-09-2025 15:47:07
# star_mass = 16.3388431180549389
# num_shells = 151
# chemical_species = h1, he3, he4, c12, n14, o16
id      mass                      dm                        density                   entropy                   passive_scalar            mean_mu                   h1                        he3                       he4                       c12                       n14                       o16                       
27      3.3481437569382289e+00    8.9276580422814555e-02    3.3665309929003264e+00    1.5672863092863500e+09    1.0000000000000000e+00    7.3017130429664934e-01    5.0610447584228835e-01    1.6871984487440130e-06    4.8002181025524637e-01    5.3307840492830678e-05    8.5888167965644784e-03    8.3515480642790607e-04    
28      3.4475187410101187e+00    9.9374984071888467e-02    6.9853839732045335e+00    1.5896933218359523e+09    0.0000000000000000e+00    6.7245835517024033e-01    6.0130634831174823e-01    2.7628571542298725e-07    3.8469675049984242e-01    7.4774683159223432e-05    7.6665401062108356e-03    1.8605628527932382e-03    
29      3.5398111234544074e+00    9.2292382444291526e-02    7.6351682822946128e+00    1.5897244367593651e+09    0.0000000000000000e+00    6.7245835523018083e-01    6.0130634820399442e-01    2.7628529669459754e-07    3.8469675061049818e-01    7.4774696763803053e-05    7.6665400918501164e-03    1.8605628510660478e-03    
30      3.6297203664774771e+00    8.9909243023068242e-02    7.8078728446968064e+00    1.5897695191791170e+09    0.0000000000000000e+00    6.7245835524321207e-01    6.0130634818061945e-01    2.7628521512267224e-07    3.8469675063423370e-01    7.4774698168115103e-05    7.6665400905267921e-03    1.8605628507060022e-03    
31      3.7807282780199638e+00    1.5100791154248649e-01    1.0380992976416669e+01    1.5898072062842319e+09    0.0000000000000000e+00    6.7245835537665266e-01    6.0130634794115856e-01    2.7628435620012684e-07    3.8469675087792926e-01    7.4774715633107934e-05    7.6665400734047704e-03    1.8605628469873707e-03    
32      3.8536690090574290e+00    7.2940731037465290e-02    1.0883708304385348e+01    1.5898147610264163e+09    0.0000000000000000e+00    6.7245835539606447e-01    6.0130634790630677e-01    2.7628422781163768e-07    3.8469675091348571e-01    7.4774718680480266e-05    7.6665400703271047e-03    1.8605628464415404e-03    
33      3.9377898345283810e+00    8.4120825470952301e-02    1.1029619532378941e+01    1.5898190798562086e+09    0.0000000000000000e+00    6.7245835540731769e-01    6.0130634788599668e-01    2.7628412842451118e-07    3.8469675093477812e-01    7.4774723716956751e-05    7.6665400647555476e-03    1.8605628460937327e-03    
34      4.0198890023405838e+00    8.2099167812201668e-02    9.3752949159786336e+00    1.5898284917822745e+09    0.0000000000000000e+00    6.7245835532113951e-01    6.0130634804101490e-01    2.7628476688255758e-07    3.8469675077503424e-01    7.4774701078289497e-05    7.6665400889705066e-03    1.8605628486043813e-03    
35      4.1045788317453749e+00    8.4689829404790307e-02    8.4576380042489081e+00    1.5898521045080760e+09    0.0000000000000000e+00    6.7245835526844977e-01    6.0130634813564920e-01    2.7628512626927145e-07    3.8469675067828585e-01    7.4774691667930869e-05    7.6665400986434236e-03    1.8605628500967667e-03    
36      4.1911220863593384e+00    8.6543254613961340e-02    8.2651109184656519e+00    1.5898807358307104e+09    0.0000000000000000e+00    6.7245835525493891e-01    6.0130634815991957e-01    2.7628522256849964e-07    3.8469675065344572e-01    7.4774689115643969e-05    7.6665401012853416e-03    1.8605628504804786e-03    
37      4.2800781959448235e+00    8.8956109585482140e-02    8.0382044578806937e+00    1.5899104330231805e+09    0.0000000000000000e+00    6.7245835523733333e-01    6.0130634819153883e-01    2.7628535065581596e-07    3.8469675062111153e-01    7.4774685967853578e-05    7.6665401045219357e-03    1.8605628509785694e-03    
38      4.3714422593202817e+00    9.1364063375458104e-02    8.0222813020337966e+00    1.5899362408129807e+09    0.0000000000000000e+00    6.7245835522904074e-01    6.0130634820646844e-01    2.7628542849037022e-07    3.8469675060562986e-01    7.4774683306817988e-05    7.6665401074121576e-03    1.8605628512235036e-03    
39      4.4583000723223014e+00    8.6857813002021556e-02    8.2387268634508128e+00    1.5899441025155208e+09    0.0000000000000000e+00    6.7245835523488506e-01    6.0130634819603401e-01    2.7628541711620593e-07    3.8469675061593467e-01    7.4774682349930369e-05    7.6665401086578192e-03    1.8605628510757418e-03    
40      4.5407910592120295e+00    8.2490986889730486e-02    8.0068787395038239e+00    1.5899497020612783e+09    0.0000000000000000e+00    6.7245835522425834e-01    6.0130634821507556e-01    2.7628547172535045e-07    3.8469675059672520e-01    7.4774681886471020e-05    7.6665401089465188e-03    1.8605628513637452e-03    
41      4.6958431026659779e+00    1.5505204345394830e-01    8.0773066873742323e+00    1.5899598246636305e+09    0.0000000000000000e+00    6.7245835522715625e-01    6.0130634820988438e-01    2.7628545957415968e-07    3.8469675060194802e-01    7.4774681945245403e-05    7.6665401089461988e-03    1.8605628512857425e-03    
42      4.8393646456140189e+00    1.4352154294804315e-01    7.9308053551918158e+00    1.5899706741509140e+09    0.0000000000000000e+00    6.7245835521991604e-01    6.0130634822285944e-01    2.7628549828645232e-07    3.8469675058884778e-01    7.4774681574736157e-05    7.6665401092063656e-03    1.8605628514824213e-03    
43      4.9938657916757379e+00    1.5450114606171603e-01    8.4379691133339438e+00    1.5899874460666873e+09    0.0000000000000000e+00    6.7245835525041975e-01    6.0130634816814710e-01    2.7628530439835388e-07    3.8469675064438824e-01    7.4774684746916055e-05    7.6665401062426548e-03    1.8605628506399481e-03    
44      5.0831158529154861e+00    8.9250061239750281e-02    8.9268452853418037e+00    1.5900237165868287e+09    0.0000000000000000e+00    6.7245835527555931e-01    6.0130634812306427e-01    2.7628514884897665e-07    3.8469675069010484e-01    7.4774687096149981e-05    7.6665401041073559e-03    1.8605628499479793e-03    
45      5.1718186740639522e+00    8.8702821148466893e-02    9.0475955171701159e+00    1.5900514989031396e+09    0.0000000000000000e+00    6.7245835528223019e-01    6.0130634811109740e-01    2.7628510471925853e-07    3.8469675070226722e-01    7.4774687866003184e-05    7.6665401033709311e-03    1.8605628497631360e-03    
46      5.2604727925751291e+00    8.8654118511176994e-02    9.0981803324577566e+00    1.5900771495476091e+09    0.0000000000000000e+00    6.7245835528469156e-01    6.0130634810668604e-01    2.7628508958853016e-07    3.8469675070672854e-01    7.4774688026178253e-05    7.6665401032427437e-03    1.8605628496960681e-03    
47      5.3490239307268270e+00    8.8551138151698239e-02    9.1449430254218527e+00    1.5900985195045114e+09    0.0000000000000000e+00    6.7245835528713505e-01    6.0130634810230388e-01    2.7628507381900501e-07    3.8469675071117315e-01    7.4774688255212438e-05    7.6665401030343583e-03    1.8605628496288424e-03    
48      5.4370685701350467e+00    8.8044639408220576e-02    9.4873924268500112e+00    1.5901126506436763e+09    0.0000000000000000e+00    6.7245835530091824e-01    6.0130634807759209e-01    2.7628499376126286e-07    3.8469675073619630e-01    7.4774689359692688e-05    7.6665401020764154e-03    1.8605628492509951e-03    
49      5.5277535487177563e+00    9.0684978582709033e-02    7.0164813967561130e+00    1.5902136607425301e+09    0.0000000000000000e+00    6.7245835518178765e-01    6.0130634829114049e-01    2.7628565584742317e-07    3.8469675052022451e-01    7.4774681232797318e-05    7.6665401087106970e-03    1.8605628525048218e-03    
50      5.6710606489190143e+00    1.4330710020126292e-01    4.8952777518581536e+00    1.5957321719774189e+09    2.8217632408549148e-01    6.8318406733311277e-01    5.8239603147825247e-01    1.5739034967916341e-06    4.0363244283825322e-01    6.3099264954349896e-05    7.8804946075803038e-03    1.6316106469319832e-03    
51      5.7179908108716164e+00    4.6930161952602988e-02    4.0992212749315788e+00    1.6178790633059950e+09    5.1560445019468437e-01    6.8498864054475150e-01    5.7927295584253713e-01    3.4789839906836371e-06    4.0675469732479813e-01    4.5887401481731347e-05    7.9282431416300755e-03    1.5999900450308748e-03    
52      5.8607275396018341e+00    1.4273672873021606e-01    3.8686937891292281e+00    1.6445118321303537e+09    5.6337203363961208e-01    6.7657251958591591e-01    5.9398328648478005e-01    3.7468130205251461e-06    3.9201662544320565e-01    4.4358107850228698e-05    7.7394976212009428e-03    1.8177382694113181e-03    
53      5.9971004091776416e+00    1.3637286957580835e-01    3.6523448130930385e+00    1.6836453715168145e+09    5.8663830366180325e-01    6.6255223512128281e-01    6.1932158550968452e-01    4.2961173416262330e-06    3.6661669819550385e-01    4.1401696304398653e-05    7.3188434854752340e-03    2.3024277351590297e-03    
54      6.0785255155380140e+00    8.1425106360369925e-02    3.5289001563774014e+00    1.7141403837298257e+09    5.8671496587446159e-01    6.5124284220378359e-01    6.4056014725276278e-01    4.8190204003373066e-06    3.4530345728795014e-01    3.8090273956851531e-05    6.8074763077021804e-03    2.8912625966964786e-03    
55      6.1931593825438052e+00    1.1463386700579162e-01    3.8035257376946801e+00    1.7402603613459735e+09    4.1547513482518628e-01    6.3434985953425482e-01    6.7371191277122588e-01    6.0043250866094097e-06    3.1194934442277689e-01    2.9618457609069642e-05    5.4191095850061261e-03    4.4892631777640113e-03    
56      6.2817830994360753e+00    8.8623716892269208e-02    5.0149715117495122e+00    1.7474324136167285e+09    0.0000000000000000e+00    6.1473159365129637e-01    7.1450227546626399e-01    8.4095303319090998e-06    2.7088975991319764e-01    1.7706817944908378e-05    3.5791871457968318e-03    6.6079138659333918e-03    
57      6.3695470593405821e+00    8.7763959904504640e-02    4.8672721657795091e+00    1.7481404917936013e+09    0.0000000000000000e+00    6.1470652396895265e-01    7.1455589495921412e-01    9.2829730795899840e-06    2.7083490804581878e-01    1.7233608086281445e-05    3.5777787803656196e-03    6.6101543729043784e-03    
58      6.5074110397000329e+00    1.3786398035944752e-01    4.5032443293226825e+00    1.7491137051424949e+09    5.7399238442301534e-02    6.1696899613966838e-01    7.0971876362579012e-01    1.0099545564562591e-05    2.7570313088445225e-01    1.8201255338326885e-05    3.7988774806427734e-03    6.3561799476805521e-03    
59      6.5928653610517758e+00    8.5454321351746257e-02    4.5136894806188783e+00    1.7501128303588452e+09    0.0000000000000000e+00    6.1466210768303220e-01    7.1465069050378305e-01    1.1786918926454509e-05    2.7073709056006440e-01    1.6598454047732632e-05    3.5756348390864343e-03    6.6134514635605530e-03    
60      6.6773412034703234e+00    8.4475842418549357e-02    4.3783699696808700e+00    1.7510313729135556e+09    0.0000000000000000e+00    6.1464925281416483e-01    7.1467798981609987e-01    1.2930384087742890e-05    2.7070877263787618e-01    1.7909738500496366e-05    3.5734491623928112e-03    6.6142010005114851e-03    
61      6.7608122416484440e+00    8.3471038178120877e-02    4.2464540201315728e+00    1.7520328508235538e+09    0.0000000000000000e+00    6.1463807981230756e-01    7.1470154714182699e-01    1.4163149916407696e-05    2.7068470175596809e-01    2.2641221981320863e-05    3.5674435018057562e-03    6.6147559679698787e-03    
62      6.8767279287050114e+00    1.1591568705656975e-01    3.9615370482301673e+00    1.7533461340745320e+09    6.8267614869028229e-02    6.1725636776645054e-01    7.0910510437805407e-01    1.4906865183579045e-05    2.7632031049924788e-01    3.7274249353671137e-05    3.8126676346912189e-03    6.3149891129381337e-03    
63      6.9577904447281869e+00    8.1062516023170120e-02    3.9540825070732439e+00    1.7546409623611758e+09    0.0000000000000000e+00    6.1461490854235401e-01    7.1474920747737891e-01    1.7386987269025866e-05    2.7064056049542212e-01    6.3735037275696539e-05    3.5187583192933880e-03    6.6156044228296140e-03    
64      7.0950852902746524e+00    1.3729484554646976e-01    3.7103904957721259e+00    1.7563141128685894e+09    5.7637178218597568e-02    6.1676280288363461e-01    7.1015304006455560e-01    1.8581175154259539e-05    2.7527423324045747e-01    1.0811168937670833e-04    3.6861094384075042e-03    6.3651771315172941e-03    
65      7.2504628731418199e+00    1.5537758286716349e-01    3.5860281316678231e+00    1.7586144085751457e+09    0.0000000000000000e+00    6.1458381104385562e-01    7.1481007136505537e-01    2.2673700431798117e-05    2.7059783718530322e-01    2.0477281100874341e-04    3.3536612156260339e-03    6.6162364620434757e-03    
66      7.3390700963647895e+00    8.8607223222975984e-02    3.3375926350350222e+00    1.7608376524675722e+09    8.9307476223956170e-02    6.1780464452842077e-01    7.0792907314713804e-01    2.3743063938382430e-05    2.7753729819637463e-01    2.7515191452256077e-04    3.6061684040577160e-03    6.2338180134370955e-03    
67      7.4138674635468647e+00    7.4797367182075039e-02    3.3064448888144748e+00    1.7623163936747119e+09    0.0000000000000000e+00    6.1455689429801641e-01    7.1486092899196041e-01    2.7848714191433127e-05    2.7057051756923789e-01    3.7736028128075507e-04    3.1519482905205741e-03    6.6166488922775168e-03    
68      7.5454270822382545e+00    1.3155961869139354e-01    3.1329239073259383e+00    1.7649860863007526e+09    6.0149820742634773e-02    6.1646453650315736e-01    7.1073703010652922e-01    2.9320136733691041e-05    2.7492163560709176e-01    1.5775970923427572e-03    1.9522297561772501e-03    6.3874400405937830e-03    
69      7.6737865664570997e+00    1.2835948421884286e-01    2.9767435217839897e+00    1.7677843858197410e+09    6.1649417878348357e-02    6.1639535755274133e-01    7.1087399056604339e-01    3.3150670972743044e-05    2.7482867733480520e-01    1.8646824505324532e-03    1.6171929706712972e-03    6.3875587464433965e-03    
70      7.8244060039634862e+00    1.5061943750638704e-01    2.8131879102439785e+00    1.7706995298717775e+09    5.2286690433223017e-02    6.1600411128786403e-01    7.1170250593985440e-01    3.7997403295364527e-05    2.7401933941255635e-01    2.0404542958464733e-03    1.3752279521307485e-03    6.4297277357853238e-03    
71      7.9582102666913945e+00    1.3380426272791118e-01    2.6403089699244422e+00    1.7739428850493724e+09    0.0000000000000000e+00    6.1426328884727555e-01    7.1542419923036504e-01    4.4905055858618693e-05    2.7030152128516105e-01    2.2672855805385543e-03    9.2143466426657865e-04    6.6459069232787400e-03    
72      7.9906680060079935e+00    3.2457739316599336e-02    2.5662413257258239e+00    1.7761558978234811e+09    2.4263525642696426e-01    6.2202723878398758e-01    6.9896437413834411e-01    3.7059955821551843e-05    2.8680817511600620e-01    1.7626596364114732e-03    2.3717806720734880e-03    5.6612032208117188e-03    
73      8.1190888147669309e+00    1.2842080875893874e-01    2.4411854491453973e+00    1.7783663040654454e+09    0.0000000000000000e+00    6.1425253084176745e-01    7.1544365713310065e-01    4.9589315471881348e-05    2.7029069430863117e-01    2.3471814124468105e-03    8.2821735721440120e-04    6.6459132126035561e-03    
74      8.2282046165231115e+00    1.0911580175618360e-01    2.3460836395012286e+00    1.7819383147074561e+09    1.4434924686197140e-01    6.1859044174953948e-01    7.0619618615843294e-01    4.4837464584595408e-05    2.7956371951041076e-01    2.0441501063504278e-03    1.6809070383440804e-03    6.0754524613457718e-03    
75      8.3566722176528732e+00    1.2846760112976449e-01    2.1949791751473602e+00    1.7856272906449997e+09    6.1302552806039752e-02    6.1597312127178372e-01    7.1175850107733052e-01    4.9387267351412987e-05    2.7399083796668683e-01    2.2593331504731163e-03    1.1366955143078906e-03    6.4104977633187817e-03    
76      8.4728682340384474e+00    1.1619601638556841e-01    2.0301859379773735e+00    1.7895230844036303e+09    0.0000000000000000e+00    6.1423998801908275e-01    7.1546768526982141e-01    5.1729609423438714e-05    2.7027668790048714e-01    2.4201570867014213e-03    7.4307494165024165e-04    6.6459179313850267e-03    
77      8.5891370047331250e+00    1.1626877069468167e-01    1.9345858655399668e+00    1.7934067092158303e+09    6.7734369728593619e-02    6.1606291527864265e-01    7.1156660419594187e-01    4.7087532384747898e-05    2.7418875373668194e-01    2.2675095550501278e-03    1.1436513124394388e-03    6.3916464069705249e-03    
78      8.7323330507285135e+00    1.4319604599538310e-01    1.8282721217062259e+00    1.7980196836651659e+09    1.0999454415628984e-01    6.1701385536441178e-01    7.0954127000319933e-01    4.3152588118343796e-05    2.7622017825157136e-01    2.1716682288659560e-03    1.3823687186982645e-03    6.2466149490155312e-03    
79      8.8304457804512229e+00    9.8112729722712150e-02    1.6919714089433227e+00    1.8026795889489720e+09    7.9873387870936438e-02    6.1611133835864873e-01    7.1146431118117126e-01    4.2311125581571836e-05    2.7429555585704252e-01    2.2469539981575582e-03    1.1897431700314772e-03    6.3663774074840043e-03    
80      8.9252468988502294e+00    9.4801118399005554e-02    1.5988988761389842e+00    1.8066037441087825e+09    8.2663540774227259e-02    6.1607420844343541e-01    7.1154402949443174e-01    4.0430737717110799e-05    2.7421705375120398e-01    2.2417796577746262e-03    1.1971673678266351e-03    6.3647917305144075e-03    
81      9.0111632705360698e+00    8.5916371685834242e-02    1.5176514904759131e+00    1.8105293824785335e+09    9.1211907142380255e-02    6.1615165215980761e-01    7.1137938166518955e-01    3.8520529849755498e-05    2.7438278460310539e-01    2.2221392586548438e-03    1.2372046693154871e-03    6.3452220133535311e-03    
82      9.0946305493244886e+00    8.3467278788414936e-02    1.4395925787524260e+00    1.8144885700554836e+09    9.3888242554113821e-02    6.1609196015580359e-01    7.1150724142434152e-01    3.7032415947820431e-05    2.7425525441255100e-01    2.2162473845572569e-03    1.2428425584126339e-03    6.3466345436583365e-03    
83      9.2268599854833084e+00    1.3222943615881452e-01    1.3580954153099543e+00    1.8197545129883440e+09    1.1853028106096401e-01    6.1638409163600894e-01    7.1088530038610176e-01    3.4607874086171975e-05    2.7487728595008415e-01    2.1572929003187448e-03    1.3640647236577621e-03    6.2867009052200171e-03    
84      9.2985450916277603e+00    7.1685106144447924e-02    1.2612952186965398e+00    1.8249009157574384e+09    1.0931972536146538e-01    6.1603677153352354e-01    7.1162656061701468e-01    3.3573736522400447e-05    2.7413504160241831e-01    2.1796621947717996e-03    1.2977419230515014e-03    6.3326726656897404e-03    
85      9.4454087382608023e+00    1.4686364663304108e-01    1.1620910693774893e+00    1.8309585265032389e+09    1.0644935642929644e-01    6.1577384787224643e-01    7.1218860276685625e-01    3.2386519143958790e-05    2.7357134527185484e-01    2.1866282063606355e-03    1.2615981093073796e-03    6.3646918659455501e-03    
86      9.5558219833963243e+00    1.1041324513552336e-01    1.0774360073845477e+00    1.8385554063582323e+09    1.4123205130249744e-01    6.1595943833495581e-01    7.1179436333780277e-01    3.0094735421502637e-05    2.7396046619717157e-01    2.1026678417402256e-03    1.4056336145415245e-03    6.3120270127908886e-03    
87      9.7116625571405493e+00    1.5584057374422033e-01    9.7497280932984920e-01    1.8467774625824976e+09    1.5009463254782848e-01    6.1566106006024213e-01    7.1243336268616153e-01    2.8824334536925350e-05    2.7331465138525352e-01    2.0810475355045864e-03    1.3994799446497802e-03    6.3478868533623119e-03    
88      9.8017109022026112e+00    9.0048345062043150e-02    8.3603332323172019e-01    1.8553050035852354e+09    8.6586205946984254e-02    6.1478929543167760e-01    7.1429724897254510e-01    2.9681602280974763e-05    2.7145428748402067e-01    2.2342190953622623e-03    1.0727372085790026e-03    6.5170783766805721e-03    
89      9.8681279959003358e+00    6.6417093697723639e-02    7.9206214304137135e-01    1.8615258314782667e+09    1.1739364245916110e-01    6.1478368892006297e-01    7.1431188312682403e-01    2.8407665035919289e-05    2.7142924829079801e-01    2.1595663125631055e-03    1.1651742017891624e-03    6.5109731424583105e-03    
90      9.9607729419658479e+00    9.2644946065512851e-02    7.0992402051831471e-01    1.8681311982705929e+09    8.3722644514373959e-02    6.1448462095801826e-01    7.1495184060412076e-01    2.8835868028570911e-05    2.7079366206136135e-01    2.2408669591177897e-03    1.0090688491299386e-03    6.5809783977102210e-03    
91      9.9861858714875176e+00    2.5412929521665146e-02    8.0783370647275032e-01    1.8732027846762457e+09    3.0521785687414321e-01    6.1453603643300014e-01    7.1486088171868845e-01    2.3128720673541988e-05    2.7080076376661616e-01    1.7038740634052313e-03    1.6351019797312485e-03    6.5815024903540416e-03    
